s1	rid
S1-751155132	S2-158630653
S1-77611409	S2-375599078
S1-384041799	S2-861812147
S1-964192045	S2-968169853
S1-588953292	S2-462460193
S1-901243283	S2-292120778
S1-4916824	S2-237490893
S1-478386002	S2-70906796
S1-390748788	S2-146727345
S1-457356038	S2-777289831
S1-197128938	S2-305970952
S1-15805225	S2-910020771
S1-895222028	S2-824340117
S1-133556718	S2-87404666
S1-292915793	S2-832079965
S1-217540927	S2-80368872
S1-573770036	S2-786434382
S1-403954193	S2-100014935
S1-761113808	S2-565147999
S1-318557746	S2-924782473
S1-732318701	S2-389995412
S1-379763417	S2-552136756
S1-515129501	S2-866932540
S1-723570447	S2-764599177
S1-78445090	S2-209830682
S1-791416881	S2-515634476
S1-939411523	S2-6920118
S1-931665511	S2-253495663
S1-427729757	S2-289521833
S1-903608282	S2-381126669
S1-808870249	S2-956614151
S1-495507059	S2-96395256
S1-934642579	S2-206960100
S1-974489426	S2-823031082
S1-863849980	S2-771814460
S1-182983016	S2-958552707
S1-122567555	S2-677699520
S1-457201756	S2-949536508
S1-324444792	S2-23575681
S1-30781698	S2-475465105
S1-331503894	S2-384515038
S1-639794363	S2-280695805
S1-921153889	S2-314563829
S1-402238338	S2-479418539
S1-458611774	S2-195035295
S1-854341878	S2-716874890
S1-301012530	S2-455325205
S1-592000359	S2-56594466
S1-177380392	S2-572080449
S1-66505411	S2-857396903
S1-971351851	S2-531225631
S1-513942281	S2-225096268
S1-314919751	S2-630673875
S1-493042502	S2-201992661
S1-381611997	S2-907993753
S1-295618734	S2-923768849
S1-240353633	S2-601117416
S1-238532321	S2-572681521
S1-100555926	S2-545487063
S1-749577321	S2-229421453
S1-415873177	S2-890651142
S1-365096927	S2-322562376
S1-339012924	S2-897309345
S1-436101127	S2-476288004
S1-479007478	S2-222868060
S1-136366940	S2-932650830
S1-746309974	S2-72331871
S1-927579904	S2-627621191
S1-181813784	S2-579122010
S1-539435140	S2-141751219
S1-281428533	S2-45282269
S1-330480372	S2-135463243
S1-246788734	S2-316661333
S1-265740265	S2-74546349
S1-324521218	S2-448472091
S1-307739112	S2-229134076
S1-921409161	S2-630077272
S1-548431424	S2-79557341
S1-296020062	S2-846927101
S1-440252476	S2-602157130
S1-734448772	S2-485234501
S1-460197987	S2-980631995
S1-255618790	S2-444261376
S1-316400370	S2-298833866
S1-459468546	S2-540370049
S1-822624204	S2-809601139
S1-577067576	S2-861044088
S1-166409239	S2-559574701
S1-158758943	S2-322182578
S1-274864192	S2-44254398
S1-915789186	S2-82464266
S1-201490881	S2-270159987
S1-665434430	S2-851371609
S1-449965550	S2-630865514
S1-811374756	S2-887702847
S1-10628063	S2-589649496
S1-871607114	S2-507265974
S1-177898172	S2-702956320
S1-80376902	S2-645693953
S1-128007325	S2-510361608
S1-847233860	S2-469710212
S1-817940306	S2-749517144
S1-816936897	S2-389848504
S1-635611750	S2-332438239
S1-75005545	S2-858005056
S1-84131192	S2-616999175
S1-651420698	S2-517844622
S1-2378977	S2-29341104
S1-752130265	S2-664824363
S1-544776577	S2-632204167
S1-772444099	S2-144917063
S1-605649531	S2-421527369
S1-306250477	S2-630044160
S1-846232530	S2-304272181
S1-962035462	S2-368925121
S1-798422088	S2-377640900
S1-909353503	S2-934718018
S1-987636590	S2-427878905
S1-616005870	S2-5700461
S1-972561848	S2-722566392
S1-518535475	S2-14832974
S1-55163292	S2-964059077
S1-772152899	S2-560766312
S1-332296439	S2-248326664
S1-270996532	S2-891416896
S1-841188843	S2-547172526
S1-712325731	S2-945133108
S1-491625786	S2-860864417
S1-290263046	S2-51991191
S1-634341662	S2-742788238
S1-525822765	S2-790733788
S1-850468101	S2-156232432
S1-20266603	S2-72366806
S1-951328871	S2-35946827
S1-167042854	S2-357262980
S1-841798687	S2-123239575
S1-511984876	S2-591149581
S1-38093282	S2-702989508
S1-378177735	S2-849983291
S1-358691515	S2-486935747
S1-240303050	S2-359517093
S1-562984086	S2-634685139
S1-53667009	S2-33121290
S1-588346658	S2-6356504
S1-949571578	S2-259457269
S1-712719847	S2-160563879
S1-378991918	S2-775054500
S1-777498736	S2-477405502
S1-720818195	S2-528485902
S1-946261562	S2-419321170
S1-846232530	S2-49741056
S1-675029932	S2-665364686
S1-608080933	S2-217990707
S1-529634561	S2-713112511
S1-293833600	S2-879973310
S1-95942768	S2-347169168
S1-458158857	S2-339531972
S1-169826889	S2-376234558
S1-993496955	S2-7192158
S1-772828169	S2-278635592
S1-470231116	S2-719813745
S1-56268004	S2-917146083
S1-186473303	S2-98603580
S1-363087907	S2-902113622
S1-383398865	S2-14981908
S1-967330833	S2-160761135
S1-952931083	S2-519982768
S1-289827355	S2-771018444
S1-655541574	S2-759350000
S1-503758667	S2-142871291
S1-503094355	S2-509580242
S1-340331555	S2-227508327
S1-151876151	S2-461010072
S1-456258801	S2-583123751
S1-217029144	S2-61824014
S1-877231031	S2-930980150
S1-352249595	S2-620708251
S1-690723247	S2-400957226
S1-461965540	S2-595374428
S1-564878909	S2-914826896
S1-974318304	S2-165275568
S1-575403560	S2-6928897
S1-608424312	S2-42501955
S1-98177348	S2-446471488
S1-582102388	S2-940887810
S1-419770547	S2-102760
S1-892698250	S2-30266181
S1-118712004	S2-343556964
S1-935387151	S2-859490085
S1-186316937	S2-560462747
S1-278417217	S2-428665860
S1-365257103	S2-920010040
S1-110625814	S2-602907102
S1-56317970	S2-88657286
S1-307363741	S2-346560004
S1-46359878	S2-655862480
S1-253571595	S2-105275950
S1-691798200	S2-769141836
S1-588089791	S2-329866313
S1-331093770	S2-386542977
S1-676062426	S2-629649219
S1-351530036	S2-458533587
S1-985202964	S2-55867472
S1-272545975	S2-454900046
S1-175861576	S2-365478542
S1-436661024	S2-494949410
S1-337144806	S2-155633699
S1-732795116	S2-607914124
S1-124348135	S2-196744322
S1-479123104	S2-914450834
S1-405956210	S2-599842456
S1-406681894	S2-616493702
S1-580984341	S2-167417690
S1-976878820	S2-6658650
S1-629802947	S2-982269056
S1-24178746	S2-91800093
S1-977576562	S2-504393922
S1-521556756	S2-339263908
S1-25247321	S2-660034291
S1-173853859	S2-680312642
S1-268514173	S2-508193305
S1-713208238	S2-825957189
S1-977583063	S2-506905511
S1-845385794	S2-54870119
S1-487251945	S2-348926808
S1-13703470	S2-110360169
S1-838097500	S2-617016046
S1-291876776	S2-187720567
S1-470083802	S2-961018125
S1-238080343	S2-566916844
S1-91144219	S2-717386562
S1-14782953	S2-43388204
S1-709485413	S2-891057230
S1-984322635	S2-551916503
S1-805471291	S2-5113503
S1-485493328	S2-278387856
S1-901294524	S2-59468027
S1-330568903	S2-632834147
S1-732154309	S2-665087131
S1-1953297	S2-319983532
S1-70643226	S2-25723397
S1-785723181	S2-729509592
S1-428438084	S2-428735604
S1-839979528	S2-172805619
S1-497359775	S2-271816824
S1-480187423	S2-876700630
S1-246132146	S2-52461599
S1-646983234	S2-258349745
S1-461765217	S2-388762809
S1-527403559	S2-974511289
S1-894452407	S2-144805251
S1-550316818	S2-27555432
S1-148031977	S2-145000409
S1-774848388	S2-941369569
S1-959219600	S2-919045259
S1-966501618	S2-939320946
S1-950502649	S2-20280761
S1-732378812	S2-398461206
S1-125378330	S2-81022895
S1-885265402	S2-915095655
S1-725003681	S2-775256689
S1-585541371	S2-658149434
S1-799336967	S2-443105174
S1-588228596	S2-969286406
S1-884538207	S2-931354072
S1-688809729	S2-18746337
S1-989888169	S2-778955326
S1-456682162	S2-262980567
S1-110104341	S2-709352359
S1-930884894	S2-306509179
S1-909574335	S2-791163462
S1-833166579	S2-135374773
S1-569276116	S2-215449790
S1-587078930	S2-38221955
S1-336887167	S2-297244737
S1-530217794	S2-390961764
S1-909977999	S2-974209782
S1-999182887	S2-85113215
S1-620626249	S2-223780959
S1-848667385	S2-934075270
S1-7572946	S2-194099658
S1-281898711	S2-775091139
S1-636102581	S2-80193882
S1-555314141	S2-633282408
S1-968324639	S2-138705032
S1-86615161	S2-358952075
S1-992639391	S2-119175047
S1-229370041	S2-916394088
S1-184769453	S2-767813024
S1-583725087	S2-722792097
S1-854091722	S2-709285232
S1-314009449	S2-330793902
S1-248386727	S2-43603972
S1-828989930	S2-947545123
S1-461345306	S2-384220432
S1-92659153	S2-116762392
S1-103535542	S2-793097419
S1-881755665	S2-91700368
S1-915997489	S2-502113271
S1-683349376	S2-107561518
S1-832227924	S2-621730422
S1-590052077	S2-969812813
S1-713605733	S2-48299723
S1-179705165	S2-32518379
S1-411823674	S2-132559179
S1-575674667	S2-627011482
S1-226077384	S2-516617767
S1-162970536	S2-528975630
S1-872813735	S2-919824290
S1-764466432	S2-467234741
S1-347551869	S2-975455922
S1-44187653	S2-579273870
S1-459154745	S2-858539801
S1-98177348	S2-957121196
S1-217531679	S2-395690566
S1-461503771	S2-829139565
S1-890325194	S2-610865002
S1-841296867	S2-269048408
S1-883982056	S2-409323305
S1-847433042	S2-765501067
S1-385536880	S2-935567409
S1-413366999	S2-746208007
S1-866849321	S2-298351356
S1-803948598	S2-218970627
S1-451868603	S2-215941673
S1-775828574	S2-410301707
S1-281843784	S2-4995835
S1-718278619	S2-145259794
S1-920140417	S2-430398467
S1-106435524	S2-524706341
S1-973729088	S2-677612023
S1-783434687	S2-703924455
S1-524905546	S2-142248954
S1-239675001	S2-811059645
S1-696792552	S2-752702212
S1-863293142	S2-252354348
S1-560339769	S2-862328371
S1-778246499	S2-620283336
S1-738184039	S2-920075304
S1-689867467	S2-754921211
S1-825918172	S2-313292384
S1-19471543	S2-868210494
S1-651511891	S2-168556685
S1-177256006	S2-912564971
S1-418948378	S2-270188479
S1-170317928	S2-477339576
S1-208413558	S2-306567236
S1-720082902	S2-581200923
S1-277762652	S2-387705975
S1-303407252	S2-603290244
S1-874891856	S2-914185636
S1-849995516	S2-172102161
S1-174414799	S2-959148313
S1-153645458	S2-709209286
S1-820208022	S2-445530322
S1-895201302	S2-926018946
S1-664956420	S2-813356470
S1-414722418	S2-903585311
S1-508647691	S2-551171428
S1-350429004	S2-794332730
S1-751920015	S2-464713128
S1-537094898	S2-628180792
S1-148793216	S2-144822818
S1-890327222	S2-948020271
S1-326811583	S2-158405679
S1-519482618	S2-458016637
S1-189569444	S2-545109522
S1-957996022	S2-56866507
S1-862911385	S2-658839320
S1-82597937	S2-371527103
S1-797934872	S2-564507824
S1-961211985	S2-986230659
S1-419058377	S2-979273562
S1-517640773	S2-904381507
S1-259611490	S2-79504715
S1-520576511	S2-235521285
S1-83712362	S2-190217104
S1-996714867	S2-213456267
S1-816642780	S2-171749150
S1-665727438	S2-322375767
S1-388246792	S2-513762598
S1-227472553	S2-676819838
S1-685238760	S2-177129329
S1-338088904	S2-761087654
S1-807380208	S2-491982704
S1-379260306	S2-788675430
S1-117477544	S2-131251329
S1-500969262	S2-71488729
S1-36310723	S2-791910436
S1-672263677	S2-270001357
S1-227182741	S2-346534633
S1-126583743	S2-157654219
S1-968495301	S2-980054782
S1-998560620	S2-760320344
S1-863494187	S2-917743760
S1-883331836	S2-44671929
S1-69413687	S2-112903844
S1-551150587	S2-53141768
S1-559754757	S2-530222807
S1-554481437	S2-604129987
S1-703118167	S2-794862341
S1-208149989	S2-521511545
S1-868034549	S2-299210157
S1-866434668	S2-950895920
S1-859028476	S2-979466936
S1-755906401	S2-611772846
S1-549231850	S2-111629814
S1-293903183	S2-150447134
S1-86368819	S2-125140240
S1-463988410	S2-999257514
S1-226110219	S2-888947445
S1-419864237	S2-533100121
S1-387103770	S2-787479321
S1-502353253	S2-943421922
S1-626845913	S2-252728479
S1-921494506	S2-813673599
S1-329421197	S2-946731482
S1-412652686	S2-641356102
S1-213534743	S2-475631913
S1-74599354	S2-565649404
S1-634665997	S2-582078696
S1-109185914	S2-45097865
S1-668347219	S2-2869144
S1-552783578	S2-33151888
S1-938396179	S2-345740437
S1-777415187	S2-388746895
S1-713528099	S2-481817095
S1-932705758	S2-421368696
S1-796088350	S2-756303823
S1-571550721	S2-370587768
S1-466263091	S2-230046374
S1-936807548	S2-82595278
S1-19838559	S2-14473467
S1-13413893	S2-565534480
S1-26085832	S2-795845366
S1-774561723	S2-637041405
S1-734746132	S2-338525520
S1-377985092	S2-820376251
S1-475007094	S2-634497270
S1-879166395	S2-363936040
S1-349689976	S2-507038877
S1-552783578	S2-130262577
S1-605724829	S2-382056011
S1-244749783	S2-475541721
S1-877486317	S2-852961012
S1-175691907	S2-591608596
S1-451272613	S2-924382014
S1-694930678	S2-638603810
S1-362121506	S2-688655950
S1-716053494	S2-111529676
S1-50497135	S2-865205626
S1-170124786	S2-302321635
S1-182504384	S2-226619024
S1-527329546	S2-333050410
S1-358332784	S2-882374589
S1-634029045	S2-905244795
S1-489281546	S2-623508007
S1-73485046	S2-316128012
S1-512024286	S2-463828012
S1-576761860	S2-25893927
S1-112435953	S2-976308338
S1-185498176	S2-323897469
S1-650270662	S2-222861870
S1-136410407	S2-828174393
S1-633356182	S2-719220723
S1-731582280	S2-60905958
S1-900411535	S2-650079919
S1-416413919	S2-740638497
S1-467405452	S2-291390112
S1-493688441	S2-774523002
S1-553330268	S2-105389153
S1-950588823	S2-485415500
S1-281249913	S2-783729810
S1-453052020	S2-456959206
S1-381840724	S2-912698507
S1-863089406	S2-840558689
S1-468263820	S2-757559318
S1-8108341	S2-269505821
S1-88923579	S2-594490803
S1-889490988	S2-782694433
S1-700250092	S2-98823571
S1-340020803	S2-62843124
S1-232863327	S2-42691251
S1-582959416	S2-267770963
S1-610111853	S2-466836443
S1-944336418	S2-484438622
S1-397818557	S2-511248879
S1-178647211	S2-314674300
S1-934607751	S2-97269476
S1-743680485	S2-692669985
S1-447373528	S2-427609859
S1-541827180	S2-117574189
S1-379135237	S2-269965161
S1-615039612	S2-448907166
S1-132171820	S2-356889476
S1-813995615	S2-639897511
S1-734593656	S2-875404167
S1-110403222	S2-741590062
S1-421194147	S2-964509398
S1-690050930	S2-976866541
S1-137052159	S2-964676034
S1-996269246	S2-966967724
S1-707247601	S2-302119650
S1-893297491	S2-466017556
S1-926433223	S2-550120604
S1-212328129	S2-701379485
S1-199168069	S2-46601594
S1-533039493	S2-257263181
S1-868217986	S2-256705960
S1-607720503	S2-82832173
S1-500730776	S2-521062141
S1-726982109	S2-773114329
S1-399187720	S2-243950421
S1-319177710	S2-768119769
S1-337075363	S2-882213988
S1-22395550	S2-862434309
S1-711303044	S2-760768948
S1-268072183	S2-224437542
S1-314679331	S2-617752748
S1-594744747	S2-907687581
S1-115167092	S2-947622206
S1-394475192	S2-135882503
S1-229703746	S2-488760596
S1-598011084	S2-923328883
S1-632389859	S2-178819997
S1-481748186	S2-69197913
S1-201649763	S2-337151179
S1-978197806	S2-352841884
S1-804909913	S2-871890873
S1-793454690	S2-575305516
S1-659375293	S2-331128842
S1-425165797	S2-128002559
S1-887268666	S2-395299818
S1-978720772	S2-481441084
S1-123822328	S2-789041221
S1-839017792	S2-751726237
S1-919412880	S2-344782770
S1-110852392	S2-411312629
S1-478244320	S2-759759023
S1-122695239	S2-772482877
S1-866984882	S2-936040698
S1-820978786	S2-59404355
S1-607334222	S2-202264171
S1-373112860	S2-715809478
S1-20329965	S2-92958715
S1-572694606	S2-668643650
S1-773083023	S2-272636799
S1-83954091	S2-431949188
S1-346205468	S2-210356514
S1-946375621	S2-586038606
S1-975358435	S2-824142577
S1-40320501	S2-906688035
S1-810539049	S2-995382790
S1-745688676	S2-358323548
S1-553073553	S2-412128165
S1-126452274	S2-990247047
S1-90590707	S2-118934265
S1-132430186	S2-616089462
S1-249137261	S2-821150777
S1-376242910	S2-318061232
S1-919174045	S2-396807646
S1-412281432	S2-16942560
S1-213549973	S2-218356995
S1-778390649	S2-477076148
S1-595161493	S2-801847967
S1-89769765	S2-235869675
S1-117211403	S2-121749745
S1-161487995	S2-496028446
S1-525961347	S2-705143241
S1-321465298	S2-73992591
S1-236626007	S2-909595187
S1-10790835	S2-44739736
S1-661444776	S2-345715995
S1-729349827	S2-378250611
S1-165133679	S2-102148492
S1-23418077	S2-563377903
S1-879617492	S2-639610225
S1-95604111	S2-67147401
S1-89637806	S2-26097188
S1-241720996	S2-158670237
S1-795420286	S2-945197313
S1-62505991	S2-518278192
S1-986104706	S2-158888173
S1-953115366	S2-903765514
S1-913894515	S2-668730197
S1-509937237	S2-166466870
S1-843019530	S2-918751803
S1-458978137	S2-734769530
S1-421906442	S2-714304281
S1-891580088	S2-536277177
S1-570425731	S2-663713531
S1-749399785	S2-551764016
S1-721261633	S2-924422291
S1-749160352	S2-386205458
S1-353052727	S2-729126479
S1-128533076	S2-973022960
S1-434818980	S2-774499436
S1-373065276	S2-714212378
S1-648120274	S2-436310791
S1-766566377	S2-996176182
S1-320179929	S2-938317355
S1-744999817	S2-88701887
S1-968521657	S2-165676699
S1-942237703	S2-648381587
S1-742032987	S2-503472897
S1-971156999	S2-257058198
S1-847986243	S2-153895387
S1-377860031	S2-94435631
S1-461950457	S2-756475156
S1-724309818	S2-134149486
S1-43625425	S2-796684774
S1-627530568	S2-393334439
S1-861127874	S2-495362635
S1-336331106	S2-795020848
S1-155974309	S2-641188658
S1-524351771	S2-914324688
S1-187652878	S2-29219623
S1-9200518	S2-813531690
S1-587645120	S2-347686993
S1-843849403	S2-266877403
S1-865213506	S2-48182394
S1-652151537	S2-180933342
S1-133318321	S2-185213697
S1-867362706	S2-495656822
S1-411266353	S2-760652477
S1-653764899	S2-375108670
S1-893437604	S2-932740820
S1-41736609	S2-458335789
S1-222550619	S2-229674240
S1-432461098	S2-806247742
S1-501358548	S2-679851847
S1-894631379	S2-572640446
S1-550328353	S2-475929107
S1-461184380	S2-169018729
S1-550878924	S2-538528070
S1-544439594	S2-200522122
S1-96345800	S2-636449112
S1-761268485	S2-318178939
S1-927833996	S2-702406123
S1-641978714	S2-321210976
S1-548657008	S2-617004199
S1-22160401	S2-201213378
S1-961045481	S2-731538991
S1-94089380	S2-302229688
S1-429912878	S2-317377850
S1-18106743	S2-506337441
S1-417882641	S2-820742223
S1-550310607	S2-154790413
S1-865405563	S2-764865840
S1-763111961	S2-497998058
S1-984270550	S2-450524166
S1-771158006	S2-537350317
S1-973729327	S2-955628582
S1-473145731	S2-70011381
S1-562733178	S2-523242203
S1-969352496	S2-327456037
S1-147854232	S2-153783584
S1-743941375	S2-529763931
S1-553569977	S2-998209238
S1-491130203	S2-78684131
S1-60570528	S2-14271949
S1-783699968	S2-35575163
S1-899782579	S2-465341505
S1-120402400	S2-997873777
S1-659321039	S2-856420729
S1-863159767	S2-406793802
S1-435347482	S2-6337322
S1-113155859	S2-951325839
S1-488757107	S2-988483925
S1-787084160	S2-955188750
S1-914470053	S2-116564930
S1-936521167	S2-375301633
S1-594458375	S2-300747532
S1-877619180	S2-269169416
S1-556095702	S2-476146902
S1-475671413	S2-454057831
S1-88690588	S2-800990596
S1-444737352	S2-224767297
S1-485555956	S2-92773665
S1-188740410	S2-83505293
S1-533139244	S2-517433540
S1-861480244	S2-168277424
S1-176612721	S2-725629685
S1-82889419	S2-812653918
S1-333055721	S2-736650150
S1-188933725	S2-739003244
S1-739079216	S2-246587621
S1-338670860	S2-19528492
S1-690916453	S2-982951916
S1-886234739	S2-649664185
S1-862656133	S2-542393604
S1-903330943	S2-787679618
S1-781873822	S2-78839194
S1-883124736	S2-943264672
S1-636795516	S2-320423611
S1-646823187	S2-812875848
S1-935654314	S2-294301134
S1-246511778	S2-41026488
S1-99564461	S2-36824904
S1-122652367	S2-45908203
S1-389108699	S2-111554297
S1-145961056	S2-885876165
S1-834241764	S2-779565857
S1-946924732	S2-97092604
S1-989313720	S2-462212965
S1-667797250	S2-168495527
S1-543956679	S2-384559435
S1-99865654	S2-487713354
S1-293192838	S2-815363305
S1-472102922	S2-792356021
S1-912741319	S2-784762569
S1-285868170	S2-438538150
S1-109528256	S2-433728495
S1-745735904	S2-882554757
S1-946080326	S2-1320778
S1-926812476	S2-925662182
S1-523127074	S2-267313811
S1-336969349	S2-287625566
S1-431477635	S2-737135018
S1-276323985	S2-725538063
S1-724628638	S2-893899156
S1-580608104	S2-899775665
S1-573202630	S2-715008187
S1-618888155	S2-446224015
S1-9978830	S2-560046947
S1-333818470	S2-547063879
S1-908120858	S2-35237932
S1-427791706	S2-727278264
S1-591402817	S2-194616038
S1-141470942	S2-533332528
S1-236525590	S2-494173787
S1-842899589	S2-256366896
S1-835057992	S2-784816261
S1-238312949	S2-93273859
S1-609811217	S2-168865140
S1-354569136	S2-529252487
S1-886234739	S2-783354820
S1-917453542	S2-185873880
S1-113344773	S2-322193181
S1-598046538	S2-808683380
S1-563897840	S2-651222098
S1-537045487	S2-739862023
S1-461070808	S2-352304040
S1-806907860	S2-425163867
S1-297885051	S2-480533826
S1-305046031	S2-939925282
S1-610406618	S2-807047968
S1-168352708	S2-69715612
S1-278903803	S2-872030071
S1-725616114	S2-987877155
S1-673436863	S2-109686302
S1-841009835	S2-789548528
S1-748431612	S2-45076362
S1-383576030	S2-579775468
S1-613658837	S2-276312532
S1-728060019	S2-586089383
S1-566124118	S2-957498893
S1-720665050	S2-955301909
S1-310056396	S2-640824524
S1-238338926	S2-806859957
S1-528851776	S2-507441051
S1-498730139	S2-246442077
S1-964885539	S2-601726878
S1-287350298	S2-503580355
S1-272791559	S2-780695130
S1-614932236	S2-799877712
S1-131784020	S2-749202377
S1-7705725	S2-831612760
S1-501217322	S2-961189733
S1-757065160	S2-909916911
S1-939865499	S2-910111499
S1-168193831	S2-393924634
S1-272403288	S2-813122084
S1-250172251	S2-283983336
S1-186072710	S2-292546686
S1-582623876	S2-694685389
S1-231369410	S2-496600522
S1-101640726	S2-57061718
S1-772678990	S2-692419653
S1-852524704	S2-72965179
S1-768317849	S2-41759375
S1-457685594	S2-176066855
S1-600051391	S2-800352492
S1-828463643	S2-237730203
S1-587339414	S2-555926159
S1-504791668	S2-3820846
S1-813578294	S2-253091576
S1-647641945	S2-650684999
S1-926124862	S2-988943034
S1-580078030	S2-682686783
S1-217458950	S2-578466288
S1-986777102	S2-458222576
S1-361252573	S2-155916562
S1-810851825	S2-82089737
S1-263530842	S2-309971822
S1-886364708	S2-349377718
S1-420682829	S2-64006488
S1-120006220	S2-284145957
S1-234434834	S2-442880128
S1-124038093	S2-229418172
S1-210148542	S2-764923085
S1-426010372	S2-966769575
S1-857351911	S2-759908932
S1-772996805	S2-186914000
S1-958552869	S2-725797379
S1-689065192	S2-330029690
S1-564683716	S2-100835657
S1-620560006	S2-285777704
S1-465957824	S2-965951253
S1-899916290	S2-435767202
S1-957920642	S2-790501681
S1-260124442	S2-490772914
S1-665382447	S2-160689103
S1-867973508	S2-926117862
S1-128912484	S2-189121585
